study,iso3,name,year,respondents,sat_share,sat_n,lr_mean,lr_n,power_share,power_n,vote_share,vote_n
ROU_2014,ROU,"Romania",2014,1112,25.15,1093,6.49,714,80.79,1094,83.03,1101
ROU_2016,ROU,"Romania",2016,1105,20.78,1078,5.77,741,77.55,1077,76.42,1094
RUS_1999,RUS,"Russian Federation",1999,1842,20.08,1648,5.15,1220,84.55,1786,60.88,1733
RUS_2000,RUS,"Russian Federation",2000,1748,16.07,1506,5.14,1139,,0,,0
RUS_2004,RUS,"Russian Federation",2004,1496,32.82,1298,5.90,988,81.08,1464,48.89,1438
SLV_2019,SLV,"El Salvador",2019,1488,42.17,1469,6.74,1435,,0,82.21,1478
SRB_2012,SRB,"Serbia",2012,1568,42.46,1500,5.55,1094,73.78,1554,70.83,1543
SVK_2010,SVK,"Slovakia",2010,1203,39.26,1170,5.06,1000,69.13,1189,65.31,1189
SVK_2016,SVK,"Slovakia",2016,1150,29.99,1110,5.27,879,57.10,1124,51.38,1127
SVK_2020,SVK,"Slovakia",2020,1003,37.10,984,5.28,834,67.12,993,62.01,993
SVN_1996,SVN,"Slovenia",1996,2031,32.22,1856,4.94,1352,84.86,1988,70.55,1956
SVN_2004,SVN,"Slovenia",2004,1002,38.13,910,5.01,603,74.72,977,75.51,976
SVN_2008,SVN,"Slovenia",2008,1055,26.87,964,4.73,720,75.12,1029,71.22,1018
SVN_2011,SVN,"Slovenia",2011,1031,16.21,975,4.72,667,73.40,1000,66.20,997
SWE_1998,SWE,"Sweden",1998,1157,70.96,1009,4.96,976,76.23,1014,75.22,1013
SWE_2002,SWE,"Sweden",2002,1060,76.68,1042,4.79,1018,75.50,1045,80.94,1044
SWE_2006,SWE,"Sweden",2006,1547,81.74,1117,5.23,1039,67.32,1114,76.60,1124
SWE_2014,SWE,"Sweden",2014,832,80.27,821,5.15,792,67.59,830,79.73,829
SWE_2018,SWE,"Sweden",2018,3784,75.20,3724,5.28,3582,,0,73.39,3733
THA_2001,THA,"Thailand",2001,1081,76.94,1032,,0,61.95,891,69.33,975
THA_2007,THA,"Thailand",2007,1990,81.99,1910,5.79,1204,47.79,1720,39.13,1743
THA_2011,THA,"Thailand",2011,1500,89.57,1342,,0,59.57,987,54.39,991
THA_2019,THA,"Thailand",2019,1536,51.57,1239,5.49,383,53.75,1040,44.92,1073
TUN_2019,TUN,"Tunisia",2019,1477,26.55,1435,6.43,1178,61.59,1393,55.75,1408
TUR_2011,TUR,"Turkey",2011,1109,55.07,1032,5.89,900,83.30,1067,82.79,1068
TUR_2015,TUR,"Turkey",2015,1086,33.25,1054,5.95,965,84.58,1069,86.05,1072
TUR_2018,TUR,"Turkey",2018,1069,46.61,1023,6.10,909,80.66,1050,85.29,1049
TWN_1996,TWN,"Taiwan",1996,1200,46.96,1054,5.38,574,57.38,1030,68.22,1073
TWN_2001,TWN,"Taiwan",2001,2022,67.64,1743,5.80,978,57.21,1832,61.93,1844
TWN_2004,TWN,"Taiwan",2004,1823,54.82,1610,5.62,807,50.08,1712,54.35,1701
TWN_2008,TWN,"Taiwan",2008,1905,54.06,1721,5.56,1047,55.47,1779,61.88,1788
TWN_2012,TWN,"Taiwan",2012,1826,71.24,1734,,0,58.95,1755,63.21,1755
TWN_2016,TWN,"Taiwan",2016,1690,62.50,1608,,0,,0,59.96,1604
TWN_2020,TWN,"Taiwan",2020,1680,74.35,1647,,0,,0,64.45,1638
UKR_1998,UKR,"Ukraine",1998,1148,9.22,1009,4.63,705,86.21,1102,58.22,1046
URY_2009,URY,"Uruguay",2009,968,71.90,936,4.74,832,71.32,903,71.29,902
URY_2019,URY,"Uruguay",2019,1200,70.48,1187,5.35,1158,70.52,1156,82.70,1193
USA_1996,USA,"United States of America",1996,1534,79.90,1511,5.64,1408,64.54,1522,76.09,1524
USA_2004,USA,"United States of America",2004,1066,78.37,1054,5.87,917,72.98,1060,74.03,1064
USA_2008,USA,"United States of America",2008,2102,82.28,2060,6.25,1889,67.72,2097,80.11,2097
USA_2012,USA,"United States of America",2012,1929,76.26,1880,6.04,1684,68.34,1904,76.07,1915
USA_2016,USA,"United States of America",2016,3648,66.14,3606,5.80,3502,69.83,3621,70.45,3624
USA_2020,USA,"United States of America",2020,7449,60.34,7335,5.72,7250,73.28,7320,72.38,7353
ZAF_2009,ZAF,"South Africa",2009,1200,59.88,1164,6.58,1048,74.39,1179,78.89,1175
ZAF_2014,ZAF,"South Africa",2014,1300,53.57,1231,6.46,967,82.67,1256,79.20,1261
